name,model_family,train_rows,test_rows,seasons,accuracy,f1_weighted,log_loss_proxy,recency_half_life,params
last_10_random_forest_regularized_recency_8,random_forest,3572,228,"['1617', '1718', '1819', '1920', '2021', '2122', '2223', '2324', '2425', '2526']",0.5,0.42656159800373683,0.976820384416916,8.0,"{'numTrees': 80, 'maxDepth': 5, 'minInstancesPerNode': 8}"
last_12_logistic_regression_l2,logistic_regression,4332,228,"['1415', '1516', '1617', '1718', '1819', '1920', '2021', '2122', '2223', '2324', '2425', '2526']",0.5087719298245614,0.44157797014585043,0.9710799965443768,,"{'regParam': 0.08, 'elasticNetParam': 0.0}"
last_12_logistic_regression_l2_recency_1,logistic_regression,4332,228,"['1415', '1516', '1617', '1718', '1819', '1920', '2021', '2122', '2223', '2324', '2425', '2526']",0.5394736842105263,0.49560522775611704,0.9498092348386453,1.0,"{'regParam': 0.08, 'elasticNetParam': 0.0}"
last_12_logistic_regression_l2_recency_2,logistic_regression,4332,228,"['1415', '1516', '1617', '1718', '1819', '1920', '2021', '2122', '2223', '2324', '2425', '2526']",0.5,0.4312987329434698,0.9544589738965281,2.0,"{'regParam': 0.08, 'elasticNetParam': 0.0}"
last_12_logistic_regression_l2_recency_4,logistic_regression,4332,228,"['1415', '1516', '1617', '1718', '1819', '1920', '2021', '2122', '2223', '2324', '2425', '2526']",0.5219298245614035,0.4532847223337563,0.9618008304063519,4.0,"{'regParam': 0.08, 'elasticNetParam': 0.0}"
last_12_logistic_regression_l2_recency_8,logistic_regression,4332,228,"['1415', '1516', '1617', '1718', '1819', '1920', '2021', '2122', '2223', '2324', '2425', '2526']",0.5219298245614035,0.44913598173407543,0.966437969882255,8.0,"{'regParam': 0.08, 'elasticNetParam': 0.0}"
last_12_random_forest_regularized,random_forest,4332,228,"['1415', '1516', '1617', '1718', '1819', '1920', '2021', '2122', '2223', '2324', '2425', '2526']",0.5175438596491229,0.4392518180697646,0.9717561897216502,,"{'numTrees': 80, 'maxDepth': 5, 'minInstancesPerNode': 8}"
last_12_random_forest_regularized_recency_1,random_forest,4332,228,"['1415', '1516', '1617', '1718', '1819', '1920', '2021', '2122', '2223', '2324', '2425', '2526']",0.5131578947368421,0.44535970953078174,0.9698578178733889,1.0,"{'numTrees': 80, 'maxDepth': 5, 'minInstancesPerNode': 8}"
last_12_random_forest_regularized_recency_2,random_forest,4332,228,"['1415', '1516', '1617', '1718', '1819', '1920', '2021', '2122', '2223', '2324', '2425', '2526']",0.5219298245614035,0.4552169898430286,0.9657199038311292,2.0,"{'numTrees': 80, 'maxDepth': 5, 'minInstancesPerNode': 8}"
last_12_random_forest_regularized_recency_4,random_forest,4332,228,"['1415', '1516', '1617', '1718', '1819', '1920', '2021', '2122', '2223', '2324', '2425', '2526']",0.5219298245614035,0.45464384100747735,0.9682004536039375,4.0,"{'numTrees': 80, 'maxDepth': 5, 'minInstancesPerNode': 8}"
last_12_random_forest_regularized_recency_8,random_forest,4332,228,"['1415', '1516', '1617', '1718', '1819', '1920', '2021', '2122', '2223', '2324', '2425', '2526']",0.5263157894736842,0.446528555431131,0.9728528741902724,8.0,"{'numTrees': 80, 'maxDepth': 5, 'minInstancesPerNode': 8}"
all_16_logistic_regression_l2,logistic_regression,5852,228,"['1011', '1112', '1213', '1314', '1415', '1516', '1617', '1718', '1819', '1920', '2021', '2122', '2223', '2324', '2425', '2526']",0.5175438596491229,0.44765559691731566,0.9714090524530895,,"{'regParam': 0.08, 'elasticNetParam': 0.0}"
all_16_logistic_regression_l2_recency_1,logistic_regression,5852,228,"['1011', '1112', '1213', '1314', '1415', '1516', '1617', '1718', '1819', '1920', '2021', '2122', '2223', '2324', '2425', '2526']",0.5394736842105263,0.49560522775611704,0.9497956776489634,1.0,"{'regParam': 0.08, 'elasticNetParam': 0.0}"
all_16_logistic_regression_l2_recency_2,logistic_regression,5852,228,"['1011', '1112', '1213', '1314', '1415', '1516', '1617', '1718', '1819', '1920', '2021', '2122', '2223', '2324', '2425', '2526']",0.5131578947368421,0.4500902031531885,0.9548151866069592,2.0,"{'regParam': 0.08, 'elasticNetParam': 0.0}"
all_16_logistic_regression_l2_recency_4,logistic_regression,5852,228,"['1011', '1112', '1213', '1314', '1415', '1516', '1617', '1718', '1819', '1920', '2021', '2122', '2223', '2324', '2425', '2526']",0.5263157894736842,0.45812317788669166,0.9629435899150497,4.0,"{'regParam': 0.08, 'elasticNetParam': 0.0}"
all_16_logistic_regression_l2_recency_8,logistic_regression,5852,228,"['1011', '1112', '1213', '1314', '1415', '1516', '1617', '1718', '1819', '1920', '2021', '2122', '2223', '2324', '2425', '2526']",0.5175438596491229,0.43966437833714717,0.967525940953714,8.0,"{'regParam': 0.08, 'elasticNetParam': 0.0}"
all_16_random_forest_regularized,random_forest,5852,228,"['1011', '1112', '1213', '1314', '1415', '1516', '1617', '1718', '1819', '1920', '2021', '2122', '2223', '2324', '2425', '2526']",0.5175438596491229,0.4380331947079444,0.9716284933315307,,"{'numTrees': 80, 'maxDepth': 5, 'minInstancesPerNode': 8}"
all_16_random_forest_regularized_recency_1,random_forest,5852,228,"['1011', '1112', '1213', '1314', '1415', '1516', '1617', '1718', '1819', '1920', '2021', '2122', '2223', '2324', '2425', '2526']",0.5087719298245614,0.45007922065638306,0.9751712905005555,1.0,"{'numTrees': 80, 'maxDepth': 5, 'minInstancesPerNode': 8}"
all_16_random_forest_regularized_recency_2,random_forest,5852,228,"['1011', '1112', '1213', '1314', '1415', '1516', '1617', '1718', '1819', '1920', '2021', '2122', '2223', '2324', '2425', '2526']",0.5219298245614035,0.4448950065557566,0.9678628588870435,2.0,"{'numTrees': 80, 'maxDepth': 5, 'minInstancesPerNode': 8}"
all_16_random_forest_regularized_recency_4,random_forest,5852,228,"['1011', '1112', '1213', '1314', '1415', '1516', '1617', '1718', '1819', '1920', '2021', '2122', '2223', '2324', '2425', '2526']",0.5043859649122807,0.43062629692510845,0.9691581208114238,4.0,"{'numTrees': 80, 'maxDepth': 5, 'minInstancesPerNode': 8}"
all_16_random_forest_regularized_recency_8,random_forest,5852,228,"['1011', '1112', '1213', '1314', '1415', '1516', '1617', '1718', '1819', '1920', '2021', '2122', '2223', '2324', '2425', '2526']",0.5219298245614035,0.4494982290436836,0.9696317842637235,8.0,"{'numTrees': 80, 'maxDepth': 5, 'minInstancesPerNode': 8}"
