name,model_name,feature_set,train_window,train_seasons,recency_half_life,train_rows,validation_rows,test_rows,feature_count,decision_threshold,validation_accuracy,validation_balanced_accuracy,validation_f1_weighted,validation_roc_auc,validation_brier_score,validation_selection_metric,test_accuracy,test_balanced_accuracy,test_f1_weighted,test_roc_auc,test_log_loss,test_brier_score,test_selection_metric,majority_class_rate,baseline_accuracy_delta,notes
home_win_compact_last_4_logistic_l2_c03_recency_none,logistic_l2_c03,compact,last_4,"['2223', '2324', '2425', '2526']",,1292,233,228,37,0.4599999999999999,0.7124463519313304,0.7185053906365382,0.7085663417371505,0.7829714960862502,0.19105430806583676,0.7363543649365436,0.5921052631578947,0.5921052631578947,0.568805287239451,0.6880578639581411,0.6409013027323439,0.22706014695147414,0.617396047010202,0.5,0.09210526315789469,
home_win_compact_last_2_extra_trees_depth8_recency_none,extra_trees_depth8,compact,last_2,"['2425', '2526']",,532,96,228,37,0.4699999999999999,0.71875,0.7221739130434783,0.7173729735610923,0.7713043478260869,0.1905914454047775,0.7361929025559031,0.6140350877192983,0.6140350877192983,0.6104077669902912,0.7068328716528163,0.6157216402914543,0.2146673506075758,0.6413303247900026,0.5,0.11403508771929827,
home_win_compact_last_4_histgb_l2_010_recency_2p0,histgb_l2_010,compact,last_4,"['2223', '2324', '2425', '2526']",2.0,1292,233,228,37,0.31999999999999995,0.7167381974248928,0.7201668881996751,0.7157976144027647,0.774627086102496,0.197866892949373,0.7358495565009848,0.6271929824561403,0.6271929824561403,0.6134437020045878,0.7045244690674054,0.6555075694927179,0.22934195934912047,0.648330036371787,0.5,0.1271929824561403,
home_win_form_market_elo_last_4_extra_trees_depth8_recency_2p0,extra_trees_depth8,form_market_elo,last_4,"['2223', '2324', '2425', '2526']",2.0,1292,233,228,62,0.43999999999999995,0.7124463519313304,0.716880815241471,0.7105857826002888,0.7826022744055531,0.19181693052180596,0.7356529980945183,0.5877192982456141,0.5877192982456141,0.5702253950429133,0.6856725146198831,0.6239432076318674,0.21793219339242278,0.6144811776774897,0.5,0.08771929824561409,
home_win_form_market_elo_last_2_histgb_l2_010_recency_none,histgb_l2_010,form_market_elo,last_2,"['2425', '2526']",,532,96,228,62,0.58,0.71875,0.7160869565217391,0.7173645320197045,0.7756521739130434,0.20143135445183338,0.7341481580638253,0.6403508771929824,0.6403508771929824,0.6311553030303031,0.6675130809479839,0.7117523483283168,0.24355266626580446,0.647120202195081,0.5,0.14035087719298245,
home_win_form_market_elo_last_2_histgb_l2_002_recency_none,histgb_l2_002,form_market_elo,last_2,"['2425', '2526']",,532,96,228,62,0.35999999999999993,0.71875,0.7204347826086956,0.7185973955507325,0.7639130434782608,0.20849028901758634,0.7332026528108707,0.5833333333333334,0.5833333333333334,0.5810039655672696,0.6526623576485072,0.7457859681537702,0.25425769482220917,0.603782635462976,0.5,0.08333333333333337,
home_win_market_only_last_4_extra_trees_depth8_recency_2p0,extra_trees_depth8,market_only,last_4,"['2223', '2324', '2425', '2526']",2.0,1292,233,228,14,0.4699999999999999,0.7124463519313304,0.7099763698124354,0.7114858654377536,0.7857037365234086,0.1891465005340237,0.7329210041695252,0.6052631578947368,0.6052631578947368,0.602787456445993,0.685287780855648,0.6272417063348158,0.21958254948543865,0.6288991895656987,0.5,0.10526315789473684,
home_win_all_features_last_4_extra_trees_depth8_recency_2p0,extra_trees_depth8,all_features,last_4,"['2223', '2324', '2425', '2526']",2.0,1292,233,228,118,0.41999999999999993,0.7081545064377682,0.7148131738295673,0.7032599599223016,0.7802392556490917,0.19192364351514746,0.7327080162893348,0.5833333333333334,0.5833333333333333,0.5679664904757156,0.6927516158818098,0.6270962810955031,0.2184680461747997,0.6138537916692335,0.5,0.08333333333333337,
home_win_form_market_elo_last_4_histgb_l2_002_recency_2p0,histgb_l2_002,form_market_elo,last_4,"['2223', '2324', '2425', '2526']",2.0,1292,233,228,62,0.31999999999999995,0.721030042918455,0.7206099542165116,0.7210815238383983,0.7575690444542904,0.21184038494281057,0.7317684167311282,0.5701754385964912,0.5701754385964912,0.5565258812321372,0.6627423822714682,0.7019252562328908,0.2416940716369773,0.5958980880943312,0.5,0.07017543859649122,
home_win_market_only_last_4_extra_trees_depth8_recency_4p0,extra_trees_depth8,market_only,last_4,"['2223', '2324', '2425', '2526']",4.0,1292,233,228,14,0.4599999999999999,0.7081545064377682,0.7087210160980653,0.7083158540127141,0.7850391374981539,0.18927733774934705,0.7315556782052892,0.5921052631578947,0.5921052631578947,0.5879117675638909,0.6837488457987072,0.6273788824597228,0.21968421979191666,0.6189693136110379,0.5,0.09210526315789469,
home_win_compact_last_4_histgb_l2_010_recency_1p0,histgb_l2_010,compact,last_4,"['2223', '2324', '2425', '2526']",1.0,1292,233,228,37,0.49999999999999994,0.721030042918455,0.7173608034263772,0.7190007163882887,0.763328902673165,0.2014607009897243,0.7313972201447003,0.6271929824561403,0.6271929824561404,0.6271284271284271,0.6949061249615267,0.661915215495153,0.23243692085267934,0.6474972419085994,0.5,0.1271929824561403,
home_win_compact_last_2_logistic_l2_c03_recency_none,logistic_l2_c03,compact,last_2,"['2425', '2526']",,532,96,228,37,0.62,0.71875,0.7134782608695652,0.7135885885885885,0.7730434782608695,0.19995747750381754,0.73136437524481,0.6052631578947368,0.6052631578947368,0.5779514603044015,0.690981840566328,0.6319423773883851,0.22240959553357958,0.6268820080576639,0.5,0.10526315789473684,
