target,task_type,model_name,train_rows,test_rows,target_rate,minority_class_rate,majority_class_rate,accuracy,balanced_accuracy,f1_weighted,roc_auc,log_loss,brier_score,mae,rmse,r2,baseline_metric,baseline_accuracy_delta,selection_metric,decision_threshold,imbalance_flag,actionable_target,rare_event_policy,notes
under_5_5_goals,classification,extra_trees,5852,228,0.9385964912280702,0.06140350877192982,0.9385964912280702,0.706140350877193,0.5764352469959947,0.781117333507694,0.6378504672897196,0.5252208030774885,0.16948263311127937,,,,0.9385964912280702,-0.23245614035087725,0.5317278071517371,0.59,True,False,audit_only_low_minority_support,"Imbalanced target; model selected by balanced metrics and tuned threshold, not raw accuracy. Audit-only target: minority support is 14 rows (6.1%) in the temporal test split. Does not beat majority-class accuracy baseline."
under_6_5_goals,classification,logistic_l2_balanced,5852,228,0.9868421052631579,0.013157894736842105,0.9868421052631579,0.9517543859649122,0.6466666666666666,0.9643624167207392,0.4666666666666667,0.5699197808269779,0.1918643163744184,,,,0.9868421052631579,-0.03508771929824561,0.544272874798561,0.16999999999999998,True,False,audit_only_low_minority_support,"Imbalanced target; model selected by balanced metrics and tuned threshold, not raw accuracy. Audit-only target: minority support is 3 rows (1.3%) in the temporal test split. Does not beat majority-class accuracy baseline."
both_teams_score,classification,extra_trees,5852,228,0.5964912280701754,0.40350877192982454,0.5964912280701754,0.5921052631578947,0.5648976982097187,0.5859033548784242,0.5559462915601023,0.6899273295837529,0.2482802676122639,,,,0.5964912280701754,-0.004385964912280715,0.5653631247151396,0.49999999999999994,False,True,model_candidate,Does not beat majority-class accuracy baseline.
home_scores,classification,extra_trees,5852,228,0.8289473684210527,0.17105263157894737,0.8289473684210527,0.7280701754385965,0.6019536019536019,0.7452036403457215,0.6392619725953059,0.645408562185447,0.22854645594381706,,,,0.8289473684210527,-0.10087719298245612,0.6346336189049311,0.43999999999999995,True,True,model_candidate,"Imbalanced target; model selected by balanced metrics and tuned threshold, not raw accuracy. Does not beat majority-class accuracy baseline."
away_scores,classification,hist_gradient_boosting,5852,228,0.7324561403508771,0.2675438596491228,0.7324561403508771,0.6228070175438597,0.586433689997055,0.6400183505446663,0.5973299303033277,0.6318038990898887,0.22212635207753764,,,,0.7324561403508771,-0.10964912280701744,0.5977402611710785,0.5299999999999999,False,True,model_candidate,Does not beat majority-class accuracy baseline.
total_corners_over_8_5,classification,hist_gradient_boosting,5852,228,0.6140350877192983,0.38596491228070173,0.6140350877192983,0.5964912280701754,0.5616883116883117,0.5900199881595066,0.5831168831168831,0.7057787608045069,0.25473005563787693,,,,0.6140350877192983,-0.01754385964912286,0.5723666345875624,0.42999999999999994,False,True,model_candidate,Does not beat majority-class accuracy baseline.
total_corners_over_9_5,classification,extra_trees,5852,228,0.5043859649122807,0.4956140350877193,0.5043859649122807,0.5482456140350878,0.5470180838784148,0.5391652576770544,0.5864563293574452,0.6908429802585591,0.24882202627481786,,,,0.5043859649122807,0.04385964912280704,0.5576716335919198,0.42999999999999994,False,True,model_candidate,
total_yellow_cards_over_4_5,classification,extra_trees,5852,228,0.43859649122807015,0.43859649122807015,0.5614035087719298,0.5701754385964912,0.59859375,0.5506379585326954,0.6760156249999999,0.65880789679061,0.23346537550333474,,,,0.5614035087719298,0.00877192982456143,0.6146269437799042,0.4499999999999999,False,True,model_candidate,
any_red_card,classification,extra_trees,5852,228,0.21052631578947367,0.21052631578947367,0.7894736842105263,0.706140350877193,0.5236111111111111,0.6945243681111948,0.5359953703703704,0.6488418894615531,0.2283232348311804,,,,0.7894736842105263,-0.08333333333333337,0.5529633774389014,0.49999999999999994,False,True,model_candidate,Does not beat majority-class accuracy baseline.
home_goals,regression,extra_trees,5852,228,,,,,,,,,,0.9085370030688272,1.1366152292910474,0.12238376664717276,0.9956140350877193,,0.08707703201889205,,False,True,not_applicable,Selection metric is baseline MAE improvement.
away_goals,regression,ridge,5852,228,,,,,,,,,,0.70626931176808,0.9144832455169568,0.0033435187527801613,0.6622807017543859,,-0.04398861001369414,,False,True,not_applicable,Selection metric is baseline MAE improvement.
total_goals,regression,extra_trees,5852,228,,,,,,,,,,1.233030831121242,1.5458089079196629,-0.02594301882222516,1.2543859649122806,,0.021355133791038705,,False,True,not_applicable,Selection metric is baseline MAE improvement.
total_corners,regression,hist_gradient_boosting,5852,228,,,,,,,,,,2.6488997894172543,3.344075326909344,0.047576636144740725,2.7280701754385963,,0.07917038602134197,,False,True,not_applicable,Selection metric is baseline MAE improvement.
total_yellow_cards,regression,extra_trees,5852,228,,,,,,,,,,1.7267011760703546,2.211626493082774,0.0390732326038018,1.9035087719298245,,0.17680759585946992,,False,True,not_applicable,Selection metric is baseline MAE improvement.
